,KepID,Exoplanet Archive Disposition,Disposition Score,Orbital Period [days],Transit Epoch [BKJD],Impact Parameter,Transit Duration [hrs],Transit Depth [ppm],Planetary Radius [Earth radii],Equilibrium Temperature [K],Insolation Flux [Earth flux],Transit Signal-to-Noise,Stellar Effective Temperature [K],Stellar Surface Gravity [log10(cm/s**2)],Stellar Radius [Solar radii],Dec [decimal degrees],Kepler-band [mag]
155,5794379,CONFIRMED,1.0,12.71809866,175.35526,0.427,3.0957,1149.4,2.31,562.0,23.6,52.7,4702.0,4.592,0.686,41.060921,15.389
156,5794379,CONFIRMED,0.999,36.06588163,198.58423,0.26,4.3246,1563.8,2.64,397.0,5.88,51.7,4702.0,4.592,0.686,41.060921,15.389
157,5881688,CONFIRMED,1.0,4.190425659,171.44122,0.458,2.8589,2877.4,6.21,1234.0,547.9,240.6,6073.0,4.392,1.135,41.137589,15.27
158,6022556,CONFIRMED,1.0,3.709870784,171.987982,0.023,3.0694,2020.3,4.35,1151.0,415.1,116.1,5727.0,4.463,0.978,41.346458,15.581
159,6032497,CONFIRMED,1.0,16.3297527,177.29506,0.791,6.271,1187.5,3.75,727.0,66.08,74.6,5878.0,4.444,0.987,41.301769,15.447
160,6061119,CONFIRMED,0.985,27.807566216,186.713552,0.782,4.21587,25391.0,13.84,554.0,22.24,748.1,5862.0,4.584,0.785,41.396091,15.482
161,6191521,CONFIRMED,0.942,80.8723469,203.895,0.527,11.195,3604.6,7.59,452.0,9.88,160.9,5510.0,4.222,1.238,41.565788,15.201
162,6267425,FALSE POSITIVE,0.0,3.166465862,172.002627,1.266,2.9381,4357.2,26.82,954.0,196.31,122.1,4968.0,4.575,0.704,41.679192,15.999
163,3531558,CONFIRMED,0.912,24.99324319,138.68167,0.686,5.9409,269.6,2.29,712.0,60.88,62.0,5718.0,4.181,1.317,38.649601,12.377
164,6276477,CONFIRMED,1.0,10.35533116,170.93729,0.029,3.1775,750.6,2.47,777.0,86.22,49.2,5501.0,4.462,0.918,41.633282,15.018
165,6863998,CONFIRMED,1.0,16.08518937,180.28319,0.867,3.984,1442.4,3.68,613.0,33.43,62.6,5239.0,4.523,0.826,42.380322,15.219
167,6948054,CONFIRMED,1.0,7.49018305,174.95037,0.02,2.7297,1123.6,2.56,753.0,76.06,53.0,5103.0,4.562,0.787,42.436321,15.599
168,6948054,CONFIRMED,1.0,36.2761238,201.2869,0.035,4.7865,1572.6,3.03,445.0,9.29,45.5,5103.0,4.562,0.787,42.436321,15.599
169,6948054,CONFIRMED,1.0,17.46087931,137.26594,0.594,2.2641,812.4,2.32,568.0,24.6,22.6,5103.0,4.562,0.787,42.436321,15.599
170,6435936,CONFIRMED,0.996,56.0560754,201.16578,0.018,4.685,1626.0,1.94,233.0,0.69,27.4,3593.0,4.757,0.491,41.812119,15.849
171,6522242,CONFIRMED,0.974,41.408316686,195.78745,0.377,5.0264,22839.0,11.38,453.0,9.93,907.8,5522.0,4.586,0.747,41.944069,15.196
173,6587280,CONFIRMED,1.0,5.715425977,174.87931,0.348,2.5242,908.1,2.47,850.0,123.03,59.4,5237.0,4.572,0.826,42.033958,15.086
174,9471974,CONFIRMED,0.959,49.18394185,141.911924,0.035,11.3364,1646.2,8.2,669.0,47.4,355.7,5626.0,3.907,2.057,46.062328,12.654
175,6587280,CONFIRMED,0.994,20.0261412,146.91109,0.957,1.611,421.2,2.28,559.0,23.14,10.7,5237.0,4.572,0.826,42.033958,15.086
177,6675056,FALSE POSITIVE,0.0,10.44331991,175.4046,0.23,2.743,1159.8,2.66,667.0,46.94,51.7,4947.0,4.516,0.802,42.148811,15.546
178,6685526,CONFIRMED,1.0,2.237489571,170.81914,0.128,1.8119,315.8,1.41,1160.0,427.17,30.7,5265.0,4.58,0.81,42.116459,15.001
179,6756669,FALSE POSITIVE,0.0,5.851520671,173.8228336,0.211,3.11058,33004.0,14.62,901.0,155.89,1630.4,5532.0,4.53,0.806,42.233231,15.33
180,6784235,CONFIRMED,1.0,3.167893418,172.147959,0.026,2.1814,781.2,2.62,1221.0,526.23,64.8,5895.0,4.503,0.94,42.212502,15.533
181,6849310,CONFIRMED,1.0,4.311780262,173.576483,0.196,2.7251,1154.0,3.11,1038.0,274.84,86.1,5527.0,4.484,0.927,42.301369,15.604
182,6849310,CONFIRMED,1.0,20.0504494,188.08821,0.383,4.556,840.9,2.69,622.0,35.44,37.8,5527.0,4.484,0.927,42.301369,15.604
183,6849310,CONFIRMED,1.0,9.76734503,186.57718,0.9,1.6585,569.1,2.67,791.0,92.46,21.1,5527.0,4.484,0.927,42.301369,15.604
185,9471974,CONFIRMED,0.987,190.3200468,312.68498,0.812,15.284,1141.7,7.78,426.0,7.8,139.3,5626.0,3.907,2.057,46.062328,12.654
186,6862603,FALSE POSITIVE,0.0,2.861159894,171.648106,0.965,1.8832,1014.3,4.37,1355.0,797.1,58.3,6126.0,4.458,1.021,42.343109,15.618
187,7366258,CONFIRMED,1.0,26.44439337,194.12074,0.03,3.9783,1843.5,3.91,562.0,23.54,88.0,5427.0,4.463,0.929,42.966141,15.158
188,7366258,CONFIRMED,0.983,51.53997972,174.055011,0.183,6.3994,3644.3,5.51,450.0,9.67,155.5,5427.0,4.463,0.929,42.966141,15.158
189,7366258,CONFIRMED,1.0,5.902245782,136.78393,0.209,2.9003,702.3,2.43,926.0,173.74,59.3,5427.0,4.463,0.929,42.966141,15.158
190,7366258,CONFIRMED,1.0,2.382951591,135.080841,0.479,1.8876,391.6,1.86,1253.0,583.01,41.4,5427.0,4.463,0.929,42.966141,15.158
191,7373451,CONFIRMED,1.0,21.02250608,207.67593,0.036,4.1072,1772.5,3.07,521.0,17.48,62.4,5067.0,4.585,0.75,42.935261,15.859
192,6948054,CONFIRMED,1.0,3.219814777,133.00406,0.06,2.0642,488.2,1.69,998.0,234.93,30.5,5103.0,4.562,0.787,42.436321,15.599
193,6949607,CONFIRMED,1.0,5.912273234,172.184012,0.17,2.3254,961.4,1.73,585.0,27.72,62.8,4072.0,4.696,0.57,42.42942,15.036
