,KepID,Exoplanet Archive Disposition,Disposition Score,Orbital Period [days],Transit Epoch [BKJD],Impact Parameter,Transit Duration [hrs],Transit Depth [ppm],Planetary Radius [Earth radii],Equilibrium Temperature [K],Insolation Flux [Earth flux],Transit Signal-to-Noise,Stellar Effective Temperature [K],Stellar Surface Gravity [log10(cm/s**2)],Stellar Radius [Solar radii],Dec [decimal degrees],Kepler-band [mag]
1236,5301750,CONFIRMED,1.0,12.88291395,135.18736,0.962,5.676,460.5,3.15,865.0,132.23,33.6,6036.0,4.326,1.131,40.496078,14.764
1237,5301750,CONFIRMED,1.0,27.4345973,145.12322,0.603,5.038,472.6,2.56,672.0,48.29,25.3,6036.0,4.326,1.131,40.496078,14.764
1238,5301750,CONFIRMED,0.996,4.22453631,135.42908,0.823,3.128,159.1,1.6,1254.0,584.24,16.7,6036.0,4.326,1.131,40.496078,14.764
1239,5301750,CONFIRMED,0.996,44.5520266,160.29386,0.689,6.0,362.1,2.29,572.0,25.3,16.7,6036.0,4.326,1.131,40.496078,14.764
1240,5526717,CONFIRMED,0.994,52.069002,178.15525,0.275,3.0089,558.3,2.92,524.0,17.76,25.6,5565.0,4.251,1.246,40.700459,14.279
1241,5972334,CONFIRMED,0.996,2.418406841,132.505587,0.018,2.0744,665.4,2.25,1226.0,535.84,69.1,5422.0,4.484,0.887,41.221958,14.991
1243,5530882,FALSE POSITIVE,0.0,5.0825188,132.95792,0.522,3.328,105.0,0.88,968.0,207.45,17.1,5706.0,4.561,0.834,40.77103,14.445
1245,6034945,CONFIRMED,0.997,9.11500269,133.97523,0.675,4.558,268.3,1.78,906.0,159.34,21.7,5962.0,4.431,1.028,41.392689,14.63
1246,9851226,FALSE POSITIVE,0.0,8.48031942,135.85217,0.918,7.297,1426.7,4.54,918.0,168.01,92.8,5951.0,4.439,0.991,46.650269,15.262
1247,8692861,CONFIRMED,1.0,13.7223682,137.84083,0.009,5.1231,571.1,2.23,746.0,73.16,97.9,5637.0,4.399,0.943,44.868889,13.749
1248,7543649,FALSE POSITIVE,0.0,3.582076914,355.515064,0.966,4.4228,1534.4,5.33,1265.0,604.27,138.4,6109.0,4.422,0.993,43.13694,15.193
1249,9480310,CONFIRMED,1.0,15.43400996,363.29494,0.707,4.2572,1785.9,4.3,721.0,63.79,59.7,5900.0,4.509,0.951,46.09594,15.703
1250,11858748,FALSE POSITIVE,0.0,1.780984316,177.8249,0.782,2.173,590.9,2.33,1397.0,899.03,46.0,5730.0,4.545,0.87,50.174221,15.516
1251,4741126,CONFIRMED,0.993,7.63846084,138.24557,0.405,3.957,71.7,1.12,1089.0,333.3,16.6,6119.0,4.274,1.299,39.81699,13.47
1252,11669125,CONFIRMED,0.956,70.6981724,188.56795,0.026,6.632,357.7,1.63,417.0,7.11,37.7,5811.0,4.536,0.866,49.738628,13.046
1253,12159249,CONFIRMED,1.0,3.74443645,133.55997,0.169,2.9191,73.3,1.1,1328.0,736.89,25.4,5876.0,4.269,1.293,50.75948,12.71
1255,9963461,FALSE POSITIVE,0.0,10.581581895,183.008458,0.202,6.66929,112640.0,53.19,1098.0,342.98,1241.4,6168.0,4.074,1.567,46.880203,13.936
1256,8081482,FALSE POSITIVE,0.488,2.819453322,133.870141,0.532,4.4127,71867.0,29.8,1357.0,803.4,202.0,5767.0,4.33,1.074,43.98502,14.569
1259,5542466,CONFIRMED,0.903,2.35574505,177.88824,0.5,1.796,266.9,1.34,1093.0,338.4,17.0,4915.0,4.512,0.812,40.720879,15.674
1261,10028140,CONFIRMED,1.0,19.65639342,140.29937,0.955,3.226,843.2,2.83,549.0,21.5,25.5,5288.0,4.613,0.74,46.94191,15.372
1262,6048024,FALSE POSITIVE,0.0,62.81584402,151.47691,1.31,2.6901,1688.4,57.62,582.0,27.14,54.6,6340.0,4.23,1.492,41.329899,12.849
1263,6049190,CONFIRMED,0.365,70.468171,189.15822,0.031,6.653,922.4,3.46,511.0,16.17,45.0,6461.0,4.396,1.131,41.393822,14.811
1264,6149553,FALSE POSITIVE,,56.86716792,157.2619128,,4.23,,,,,,,,,41.47905,15.886
1265,6198999,CONFIRMED,1.0,3.93246069,132.55435,0.416,2.1763,455.5,1.65,894.0,151.31,30.6,4841.0,4.533,0.779,41.542831,15.32
1266,6310636,CONFIRMED,1.0,0.921030497,132.03171,0.025,2.6077,101.5,1.62,2362.0,7380.64,27.0,5843.0,4.069,1.615,41.615341,14.542
1267,6616218,CONFIRMED,1.0,5.960400011,137.265171,0.8,2.8617,828.3,2.85,890.0,148.26,126.1,5418.0,4.534,0.886,42.075581,12.557
1268,7761545,CONFIRMED,0.936,85.3514875,161.007608,0.052,6.7504,4674.7,6.31,390.0,5.44,142.8,5584.0,4.478,0.938,43.400471,15.061
1270,12365184,CONFIRMED,0.985,69.72646639,196.093243,0.019,3.7177,4491.2,11.65,613.0,33.3,300.7,6430.0,4.107,1.731,51.184761,13.005
1271,4770365,CONFIRMED,1.0,1.609321941,178.94178,0.016,1.6067,728.5,1.57,958.0,199.28,35.3,4224.0,4.662,0.603,39.847839,15.937
1272,4770365,CONFIRMED,0.975,9.51220046,185.47893,0.133,2.9497,1169.4,1.99,530.0,18.66,31.9,4224.0,4.662,0.603,39.847839,15.937
1273,4770365,CONFIRMED,0.987,4.72941177,132.93871,0.236,2.234,434.3,1.22,669.0,47.3,14.6,4224.0,4.662,0.603,39.847839,15.937
1274,10748390,CONFIRMED,0.913,4.887803076,124.8130808,0.054,2.36255,4315.8,4.82,800.0,96.67,862.3,4778.0,4.591,0.763,48.080853,9.174
1275,11804465,CONFIRMED,0.761,4.437962934,171.0091259,0.069,4.69813,16388.0,18.05,1338.0,757.65,3535.6,5953.0,4.175,1.415,50.040379,13.438
1276,9663113,CONFIRMED,0.999,20.74028645,142.80003,0.431,10.3939,1023.3,4.24,798.0,95.68,155.3,6226.0,4.264,1.299,46.328701,13.955
1277,5649956,FALSE POSITIVE,0.0,1.207852845,178.2142,1.113,3.5802,49720.0,38.59,1539.0,1331.31,205.9,5601.0,4.533,0.797,40.8493,15.559
1278,4840513,FALSE POSITIVE,0.759,2.379282197,133.651365,0.003,3.1729,48434.0,25.74,1571.0,1442.19,538.0,6392.0,4.399,1.162,39.90728,15.189
1279,5217586,FALSE POSITIVE,0.0,26.0692512,143.12549,1.206,7.487,831.5,23.61,591.0,28.85,59.7,5585.0,4.409,0.91,40.31953,14.106
1280,5289854,CONFIRMED,0.964,9.69501146,182.45413,0.293,2.75,515.2,2.08,833.0,114.06,18.3,5896.0,4.516,0.914,40.439548,15.809
1281,5289854,CONFIRMED,1.0,15.3825394,139.07648,0.015,3.815,550.5,2.14,714.0,61.61,18.4,5896.0,4.516,0.914,40.439548,15.809
1282,9895709,FALSE POSITIVE,0.0,1.818939148,133.12299,0.56,1.644,331.2,1.82,1549.0,1364.15,39.3,6153.0,4.487,0.962,46.714951,15.134
1283,10006581,CONFIRMED,1.0,40.1097817,142.08227,0.016,5.2096,732.0,3.11,556.0,22.65,40.3,5509.0,4.265,1.169,46.953819,14.904
1285,6616218,CONFIRMED,0.959,2.46106962,133.32138,0.575,2.184,84.2,0.84,1195.0,483.09,18.0,5418.0,4.534,0.886,42.075581,12.557
1286,6696462,FALSE POSITIVE,1.0,3.403743926,137.232574,1.075,1.5017,815.9,10.77,1101.0,346.98,59.5,5596.0,4.533,0.853,42.126629,14.98
1287,7220429,CONFIRMED,1.0,8.03753796,139.3582,0.821,2.9118,286.5,1.54,744.0,72.44,31.1,5044.0,4.511,0.804,42.76825,14.471
1288,7222086,FALSE POSITIVE,0.983,2.43902575,133.58474,0.483,1.1598,82.5,2.61,2307.0,6700.04,20.5,6546.0,3.817,2.784,42.777061,11.041
1289,12406749,CONFIRMED,0.999,56.3587987,222.31819,0.906,6.927,2559.6,5.04,419.0,7.29,44.4,5446.0,4.525,0.821,51.222809,15.792
1290,8692861,CONFIRMED,0.693,242.467406,150.85827,0.173,12.808,340.3,1.73,286.0,1.59,23.2,5637.0,4.399,0.943,44.868889,13.749
1292,12403119,CONFIRMED,0.961,76.13622222,199.476237,0.044,7.9393,2949.5,4.78,399.0,6.01,339.4,5591.0,4.494,0.892,51.209049,12.45
1293,9842890,FALSE POSITIVE,0.0,4.9883872,358.2335,0.939,9.142,638.2,2.59,990.0,227.27,52.9,5819.0,4.565,0.823,46.61536,15.752
1294,8113154,FALSE POSITIVE,0.0,2.586878667,133.817008,0.651,6.1614,25480.0,19.84,1666.0,1823.52,261.3,6812.0,4.343,1.172,43.941631,12.897
1295,5270698,FALSE POSITIVE,0.186,3.964333304,136.029542,0.094,4.7136,25886.0,37.09,1680.0,1881.78,408.5,5758.0,3.808,2.318,40.44289,14.985
1296,5024450,FALSE POSITIVE,0.0,1.525924389,355.479571,1.217,3.15998,24627.0,49.86,1722.0,2072.8,423.9,6203.0,4.427,1.06,40.187359,15.063
1297,5282049,FALSE POSITIVE,0.926,5.910371418,360.2852478,0.065,3.88962,17219.0,12.62,1053.0,290.83,990.3,6200.0,4.488,0.958,40.41045,15.169
1299,10027323,CONFIRMED,1.0,5.92365747,134.68361,0.045,2.6302,406.5,0.99,531.0,18.87,26.4,3883.0,4.762,0.496,46.961262,15.157
1300,10027323,CONFIRMED,0.738,105.3582299,138.68069,0.75,3.81,1210.2,1.87,204.0,0.41,22.6,3883.0,4.762,0.496,46.961262,15.157
1301,12019440,CONFIRMED,0.998,3.24325988,133.6690203,0.117,3.03318,16451.0,12.91,1243.0,563.17,1586.2,5823.0,4.438,1.013,50.470058,14.952
1303,10004738,CONFIRMED,0.986,56.4758069,143.81128,0.862,5.961,1091.8,3.22,417.0,7.14,70.0,5497.0,4.57,0.839,46.98674,14.279
1304,10004738,CONFIRMED,1.0,92.8747294,145.93535,0.917,7.474,658.8,2.64,353.0,3.68,37.9,5497.0,4.57,0.839,46.98674,14.279
1305,7304449,CONFIRMED,0.999,1.538180949,131.822823,0.932,1.2635,841.0,1.0,602.0,30.85,47.7,3364.0,4.978,0.274,42.86692,15.722
1306,7386827,CONFIRMED,1.0,10.4188915,137.74971,0.856,3.0069,670.0,3.17,855.0,126.48,42.1,5692.0,4.36,1.064,42.957458,14.86
1307,7522911,CONFIRMED,1.0,20.4998763,131.82068,0.943,6.501,437.8,2.8,731.0,67.67,21.1,6249.0,4.428,1.076,43.12183,15.442
1308,7626370,CONFIRMED,1.0,1.921437488,131.806204,0.919,1.9046,278.7,1.77,1276.0,626.79,56.7,5238.0,4.472,0.851,43.271969,14.131
1309,7703955,CONFIRMED,0.998,96.109323,187.699,0.948,9.877,982.3,4.01,409.0,6.59,28.7,5792.0,4.375,1.005,43.363522,15.321
1310,7512982,CONFIRMED,1.0,20.38174802,142.31499,0.295,3.7922,1597.1,3.16,528.0,18.36,46.8,4883.0,4.515,0.808,43.190102,15.887
1312,9597806,CONFIRMED,1.0,5.101375725,357.48217,0.027,2.595,894.6,2.84,1050.0,287.28,55.1,5869.0,4.479,0.954,46.254742,15.455
1313,7812167,FALSE POSITIVE,0.0,17.7940049,365.34666,3.72,4.091,879.4,312.48,762.0,79.54,27.7,6273.0,4.442,1.044,43.54821,15.378
1314,11760959,FALSE POSITIVE,0.133,3.47021401,356.09943,0.076,2.289,1105.2,2.4,933.0,179.02,8.3,4922.0,4.555,0.744,49.957619,15.305
1316,9940565,FALSE POSITIVE,0.0,2.139325409,135.062261,1.019,2.8056,6897.8,11.61,1007.0,243.34,164.4,4765.0,4.642,0.666,46.89267,14.708
1318,9663113,CONFIRMED,0.0,572.376632,306.51006,0.712,24.42,1743.4,5.8,264.0,1.15,78.6,6226.0,4.264,1.299,46.328701,13.955
1319,8111381,FALSE POSITIVE,0.0,2.233799622,134.720709,1.249,3.04,2658.5,28.63,1287.0,650.73,228.9,5741.0,4.555,0.846,43.905571,15.195
1320,5444549,FALSE POSITIVE,0.0,31.13862664,415.9492,0.889,5.2482,11427.0,12.88,582.0,27.22,163.7,5919.0,4.485,1.0,40.678162,15.821
1321,10004738,CONFIRMED,1.0,13.93068791,134.42851,0.912,2.312,186.5,1.4,665.0,46.19,14.9,5497.0,4.57,0.839,46.98674,14.279
1322,5474613,CONFIRMED,0.9,20.4074846,140.1821,0.986,8.839,363.4,2.9,660.0,44.8,24.5,5823.0,4.472,0.972,40.61842,14.802
1323,4860932,FALSE POSITIVE,0.0,12.36564669,140.92029,1.22,3.644,388.4,24.89,804.0,98.51,22.8,6075.0,4.495,0.952,39.989811,14.59
1324,5438757,CONFIRMED,0.999,10.35078415,133.71163,0.79,6.253,273.1,1.97,842.0,119.01,36.5,5534.0,4.338,1.08,40.664181,14.659
1325,5438757,CONFIRMED,0.838,62.9224936,151.6882,0.928,11.64,417.8,2.75,462.0,10.73,28.7,5534.0,4.338,1.08,40.664181,14.659
1327,5972334,CONFIRMED,0.0,38.6520796,164.04455,0.038,5.607,566.5,2.07,487.0,13.28,24.8,5422.0,4.484,0.887,41.221958,14.991
1328,7815744,CONFIRMED,0.997,14.20442616,142.7332,0.011,3.898,800.6,1.9,602.0,31.1,26.7,5350.0,4.647,0.678,43.538609,15.469
1329,7955580,CONFIRMED,0.991,55.673582,136.54906,0.274,3.778,765.1,2.19,384.0,5.16,22.7,4998.0,4.53,0.808,43.755322,15.061
1330,8230616,CONFIRMED,1.0,6.82778157,131.78839,0.336,2.3726,545.8,1.34,577.0,26.31,32.2,4198.0,4.689,0.574,44.184109,15.224
1331,9692345,FALSE POSITIVE,0.0,0.687895191,133.66492,0.018,2.4233,462.5,1.35,1391.0,888.72,60.9,4478.0,4.615,0.651,46.457169,15.657
1332,7898352,CONFIRMED,1.0,127.2824442,163.89,0.827,7.1545,8088.6,12.04,392.0,5.61,148.1,5733.0,4.281,1.183,43.629341,15.505
1333,11402995,CONFIRMED,1.0,10.06083238,138.96723,0.672,4.5718,460.2,2.58,899.0,154.16,86.4,5705.0,4.297,1.14,49.262051,13.844
1334,7898352,CONFIRMED,1.0,30.1837021,146.64675,0.011,5.879,974.9,3.65,634.0,38.2,37.9,5733.0,4.281,1.183,43.629341,15.505
1335,12062667,FALSE POSITIVE,0.0,2.92928244,133.72275,1.14,6.794,268.6,38.42,2112.0,4706.45,39.2,6634.0,3.831,2.251,50.54829,12.674
1337,7951018,CONFIRMED,0.331,52.75878505,156.306351,0.344,6.6517,5805.8,8.76,540.0,20.08,265.4,6228.0,4.413,1.137,43.763489,15.182
1338,9899355,FALSE POSITIVE,0.0,1.332564478,354.58908,1.248,6.0325,1071.5,27.04,1618.0,1627.5,119.6,5995.0,4.536,0.878,46.757229,15.866
1339,12644774,FALSE POSITIVE,0.0,41.0772969,379.12848,0.03,5.525,1216.8,3.25,523.0,17.74,28.8,5665.0,4.381,0.938,51.761822,14.907
1340,9902856,FALSE POSITIVE,0.0,135.9121619,277.33,1.256,5.628,10188.0,40.18,370.0,4.41,99.5,6141.0,4.468,0.959,46.732021,15.535
1341,7747425,CONFIRMED,1.0,42.4729078,146.28712,0.361,7.253,334.0,2.03,539.0,19.93,22.8,5616.0,4.327,1.111,43.472771,14.601
1342,9892816,CONFIRMED,0.998,15.17026921,132.6655,0.917,4.3311,224.8,2.47,905.0,158.23,45.4,6297.0,4.26,1.369,46.726711,13.147
1343,9892816,CONFIRMED,0.603,39.4576228,136.47398,0.967,9.557,244.8,2.8,658.0,44.26,41.6,6297.0,4.26,1.369,46.726711,13.147
1344,9836149,CONFIRMED,1.0,17.8159689,134.4832,0.911,3.6765,776.8,3.12,699.0,56.48,22.5,5964.0,4.484,0.933,46.687752,15.2
1345,4813563,CONFIRMED,1.0,36.5157639,151.28989,0.787,3.6577,861.3,2.55,425.0,7.71,34.7,4847.0,4.54,0.781,39.997978,14.254
1346,2985767,CONFIRMED,1.0,14.07969236,139.96053,0.544,1.375,169.5,2.08,931.0,177.81,26.2,5821.0,4.097,1.547,38.142979,12.261
1347,2304320,CONFIRMED,0.998,16.54081386,133.95274,0.688,2.5996,370.0,1.57,570.0,24.87,32.8,5064.0,4.572,0.769,37.688938,13.755
1348,3657758,CONFIRMED,1.0,3.609313059,133.79024,0.408,1.7752,1375.1,3.26,1092.0,336.16,35.0,5668.0,4.545,0.868,38.790501,15.54
1349,9790806,CONFIRMED,1.0,1.93155546,131.76708,0.861,1.614,504.9,2.25,1290.0,655.43,8.6,5461.0,4.552,0.858,46.502239,13.007
1350,6382217,CONFIRMED,0.978,8.41100305,133.79856,0.905,2.4553,755.6,1.8,472.0,11.71,27.6,3757.0,4.718,0.539,41.758179,15.773
1351,5375194,CONFIRMED,1.0,13.52252364,142.17932,0.216,3.987,690.6,2.11,652.0,42.82,22.4,5338.0,4.557,0.816,40.556591,13.895
1352,6468138,CONFIRMED,0.987,134.2520474,182.70534,0.001,9.0636,832.1,3.43,393.0,5.63,57.2,5818.0,4.276,1.2,41.891201,13.35
1353,10019708,CONFIRMED,0.999,3.268695042,137.4817205,0.065,3.45188,10091.0,16.91,1597.0,1539.0,1429.9,5927.0,4.046,1.691,46.956001,14.879
1354,11875734,CONFIRMED,1.0,99.7468804,208.39688,0.828,6.804,1287.0,3.94,391.0,5.55,45.6,5620.0,4.363,0.974,50.121811,14.422
1355,7697568,FALSE POSITIVE,0.0,22.84156293,138.632,1.267,2.5997,2940.7,30.0,557.0,22.78,47.6,5381.0,4.538,0.826,43.363369,15.911
1356,7046804,CONFIRMED,0.998,11.720123999,142.173999,0.623,3.0039,9763.3,7.94,660.0,44.89,707.3,5215.0,4.564,0.77,42.537891,14.518
1357,7449136,CONFIRMED,1.0,4.33643506,133.85442,0.641,4.1445,108.5,1.75,1453.0,1054.56,48.0,6180.0,4.133,1.603,43.073711,11.704
1358,8680979,CONFIRMED,1.0,15.95541913,143.30236,0.314,3.9851,762.6,2.18,573.0,25.54,39.0,4891.0,4.516,0.805,44.801682,15.261
1359,8680979,CONFIRMED,0.99,8.25980352,137.47021,0.161,2.928,298.4,1.35,714.0,61.43,18.3,4891.0,4.516,0.805,44.801682,15.261
1360,9030537,CONFIRMED,1.0,62.5613879,178.40847,0.842,5.907,1372.6,3.54,417.0,7.13,35.0,5662.0,4.56,0.84,45.306122,15.5
1361,6949061,CONFIRMED,1.0,8.96847034,139.39473,0.558,4.4073,234.3,2.17,1024.0,259.95,38.2,5808.0,4.185,1.374,42.43301,14.128
1362,7269493,CONFIRMED,1.0,1.907810683,131.63784,0.41,1.8707,120.5,0.91,1268.0,609.28,40.9,5435.0,4.578,0.824,42.813919,12.852
1364,9164836,FALSE POSITIVE,0.0,48.118812545,170.8396102,1.079,5.27958,69851.0,45.18,490.0,13.6,2145.1,6003.0,4.536,0.872,45.589771,14.474
1366,11657891,CONFIRMED,1.0,2.514628496,132.90904,0.247,1.6239,228.4,1.27,1217.0,517.89,33.3,5662.0,4.56,0.84,49.781158,14.325
1367,6305192,CONFIRMED,1.0,8.025118521,132.469133,0.454,5.3694,3120.4,7.79,1093.0,336.73,373.0,6002.0,4.196,1.369,41.66404,14.153
1368,6382217,CONFIRMED,1.0,5.79529495,136.77974,0.714,2.272,334.3,1.05,534.0,19.23,14.8,3757.0,4.718,0.539,41.758179,15.773
1369,9634821,CONFIRMED,0.979,73.7578875,183.72348,0.714,2.69,1836.9,4.28,375.0,4.66,20.2,5029.0,4.429,0.93,46.316551,15.213
1371,8950568,CONFIRMED,1.0,8.30537702,139.7437,0.489,3.751,365.6,1.69,809.0,101.43,28.5,5435.0,4.495,0.873,45.290321,14.779
1372,3326377,CONFIRMED,1.0,13.22714056,142.20251,0.013,3.2861,812.0,2.22,638.0,39.1,51.8,5180.0,4.548,0.8,38.405369,14.443
1373,11601584,CONFIRMED,1.0,51.8098276,182.97335,0.273,6.343,1025.4,2.6,410.0,6.71,56.8,5191.0,4.53,0.826,49.649021,14.122
1374,11601584,CONFIRMED,0.95,4.38536428,139.22548,0.335,2.5126,198.5,1.15,935.0,180.22,25.9,5191.0,4.53,0.826,49.649021,14.122
1375,11601584,CONFIRMED,0.85,34.205785079,148.8050925,0.319,5.1691,183.2,1.1,471.0,11.67,11.6,5191.0,4.53,0.826,49.649021,14.122
1376,11601584,CONFIRMED,0.98,13.97945055,142.33829,0.924,1.2325,356.1,1.97,635.0,38.44,17.1,5191.0,4.53,0.826,49.649021,14.122
1377,8689793,CONFIRMED,1.0,3.554856338,131.80398,0.331,2.1004,232.9,1.29,1157.0,425.04,40.8,6068.0,4.565,0.831,44.876221,14.053
1378,11673802,CONFIRMED,1.0,5.28790754,135.36119,0.474,8.5274,343.9,7.1,1661.0,1802.31,90.6,4994.0,3.433,3.818,49.79755,13.427
1379,4263293,CONFIRMED,1.0,8.45746636,133.87132,0.209,2.2906,1320.3,1.87,540.0,20.08,21.8,4347.0,4.73,0.524,39.307362,15.862
1380,4263293,CONFIRMED,1.0,17.28116957,136.00718,0.206,2.829,1562.8,2.04,425.0,7.75,20.3,4347.0,4.73,0.524,39.307362,15.862
1381,4263293,CONFIRMED,0.243,32.1340014,142.27582,0.256,2.691,1262.0,1.84,346.0,3.39,11.8,4347.0,4.73,0.524,39.307362,15.862
1382,5695524,CONFIRMED,0.938,59.7711433,148.96886,0.899,4.843,574.5,3.17,522.0,17.53,38.5,6214.0,4.382,1.122,40.988659,13.952
1383,6205897,CONFIRMED,1.0,4.417692516,133.96139,0.971,2.323,279.2,1.57,790.0,92.16,35.1,4766.0,4.645,0.664,41.547539,14.31
1384,7948784,CONFIRMED,1.0,10.08744556,135.13582,0.921,2.9884,568.1,3.15,942.0,186.14,39.9,6310.0,4.417,1.095,43.738781,15.079
1385,9244756,CONFIRMED,1.0,16.34355902,145.04116,0.716,5.474,829.4,3.26,730.0,67.34,34.0,5730.0,4.394,1.056,45.605518,15.017
1386,9650808,CONFIRMED,1.0,21.96401646,133.03586,0.483,2.7509,693.4,2.57,643.0,40.41,26.9,5774.0,4.447,0.958,46.324409,15.378
1387,9650808,CONFIRMED,0.899,125.602323,215.4336,0.065,7.105,925.7,2.89,360.0,3.95,23.3,5774.0,4.447,0.958,46.324409,15.378
1388,8950568,CONFIRMED,1.0,12.51353325,139.42461,0.596,4.301,430.8,1.88,706.0,58.69,30.0,5435.0,4.495,0.873,45.290321,14.779
1389,8950568,CONFIRMED,0.889,17.9134215,135.52921,0.832,4.364,197.8,1.39,626.0,36.38,11.4,5435.0,4.495,0.873,45.290321,14.779
1390,8950568,CONFIRMED,0.998,25.2149143,152.6912,0.599,5.76,174.1,1.19,559.0,23.05,9.9,5435.0,4.495,0.873,45.290321,14.779
1391,8804845,CONFIRMED,0.951,5.42586901,135.86589,0.1,2.5342,259.0,1.48,973.0,211.66,26.1,5594.0,4.489,0.934,45.049049,14.305
1392,10480915,CONFIRMED,1.0,19.58561177,132.36472,0.964,1.755,532.9,3.09,666.0,46.51,27.1,5618.0,4.401,0.996,47.600101,14.18
1393,11709244,CONFIRMED,1.0,4.544436472,134.90159,0.731,1.8141,879.3,3.0,1017.0,253.48,42.5,5445.0,4.458,0.937,49.82563,15.009
1394,11709244,CONFIRMED,0.974,12.76220558,143.73026,0.955,2.0688,653.8,3.18,721.0,63.86,17.4,5445.0,4.458,0.937,49.82563,15.009
1395,11709244,CONFIRMED,0.999,38.7149617,134.0313,0.691,3.441,694.8,2.62,498.0,14.55,16.2,5445.0,4.458,0.937,49.82563,15.009
1396,10019708,FALSE POSITIVE,0.0,8.78458274,135.37812,0.681,6.459,210.8,2.6,1149.0,411.55,25.9,5927.0,4.046,1.691,46.956001,14.879
1397,11853878,CONFIRMED,1.0,3.69298623,132.73624,0.775,1.7744,763.3,1.74,745.0,72.66,33.9,4402.0,4.682,0.572,50.112041,14.265
1398,5728139,CONFIRMED,1.0,5.334082429,131.981761,0.045,6.2226,4676.5,13.08,1495.0,1180.64,653.4,6332.0,4.016,1.905,40.977268,14.463
1399,7668663,CONFIRMED,1.0,6.4980147,136.00108,0.92,2.4384,190.9,1.87,1026.0,262.18,41.2,5727.0,4.328,1.104,43.320461,13.25
1400,7047922,CONFIRMED,0.975,19.76169247,135.17794,0.924,3.9097,392.5,2.81,791.0,92.38,35.3,6327.0,4.327,1.175,42.537479,14.563
1401,9353314,CONFIRMED,1.0,5.18498961,131.8814,0.021,2.1397,430.1,1.15,652.0,42.62,36.4,4325.0,4.68,0.56,45.80912,14.744
1402,3629967,CONFIRMED,0.956,85.6542476,155.12346,0.012,6.866,476.0,3.56,522.0,17.51,36.6,5818.0,4.065,1.647,38.738541,13.34
1403,9347009,CONFIRMED,1.0,19.32945602,133.26717,0.009,3.794,935.5,2.26,529.0,18.57,26.8,5026.0,4.604,0.763,45.817558,15.719
1405,4917596,CONFIRMED,1.0,3.290114076,133.15709,0.203,1.5151,645.3,1.49,802.0,97.96,30.3,4484.0,4.654,0.594,40.097752,15.753
1406,4743513,FALSE POSITIVE,0.0,2.086075752,170.965627,0.914,2.2647,3657.8,10.3,1845.0,2747.42,102.2,6131.0,4.071,1.417,39.819469,12.963
1407,11046458,CONFIRMED,1.0,3.311864148,131.7427761,0.905,1.4049,5976.5,9.06,1116.0,365.94,448.2,5461.0,4.499,0.937,48.57745,14.256
1409,7132798,CONFIRMED,1.0,2.422084188,132.940079,0.058,2.5613,1871.8,3.55,1213.0,511.66,423.7,5598.0,4.565,0.83,42.65892,14.236
1410,3448130,CONFIRMED,0.983,78.5461106,144.06871,0.044,8.689,658.7,3.55,501.0,14.85,35.6,5808.0,4.172,1.397,38.52203,14.087
1411,9656252,CONFIRMED,1.0,16.92342126,145.81407,0.515,4.1864,1125.3,3.4,702.0,57.37,40.8,5786.0,4.465,0.99,46.392361,15.818
1412,6026438,CONFIRMED,1.0,5.47665801,135.70431,0.788,2.5482,648.0,2.01,741.0,71.0,32.1,4650.0,4.589,0.706,41.33564,15.549
1413,9471268,CONFIRMED,1.0,4.580346161,134.0754,0.384,2.097,308.3,1.38,889.0,147.56,49.8,5103.0,4.558,0.789,46.002251,13.693
1414,9471268,CONFIRMED,1.0,2.248288213,133.425805,0.004,2.0361,263.2,1.25,1127.0,380.75,59.7,5103.0,4.558,0.789,46.002251,13.693
1415,9471268,CONFIRMED,1.0,6.76690759,136.61633,0.648,1.7062,249.3,1.31,781.0,87.79,29.7,5103.0,4.558,0.789,46.002251,13.693
1416,10657406,CONFIRMED,1.0,34.1732156,137.78862,0.815,4.7679,635.0,2.37,465.0,11.09,38.9,5201.0,4.573,0.834,47.933559,13.733
1417,5526527,CONFIRMED,1.0,16.7364755,143.13606,0.9,2.151,1147.0,2.73,464.0,10.99,9.9,4334.0,4.618,0.653,40.708729,14.786
1418,5809954,FALSE POSITIVE,0.0,137.8645881,172.8113,1.265,1.922,2363.0,15.9,170.0,0.2,28.2,3645.0,4.797,0.449,41.080582,14.645
1419,8766650,CONFIRMED,0.984,12.43929428,136.37952,0.663,3.176,254.3,1.3,627.0,36.57,24.9,4987.0,4.531,0.773,44.941929,13.395
1420,10328393,CONFIRMED,1.0,7.62635494,136.01585,0.237,2.4168,296.1,1.21,703.0,57.89,32.5,4955.0,4.61,0.721,47.4137,14.017
1422,7094486,CONFIRMED,1.0,11.35010642,134.04612,0.035,2.2792,1221.0,1.75,403.0,6.25,38.3,3597.0,4.734,0.514,42.66576,15.278
1423,7289577,CONFIRMED,1.0,109.4450597,197.9832,0.149,3.792,1269.6,3.04,340.0,3.14,30.1,5403.0,4.5,0.868,42.809589,14.937
1424,8543100,CONFIRMED,0.998,7.56052209,134.47889,0.022,3.8573,659.8,2.4,914.0,164.9,34.6,5895.0,4.503,0.94,44.609089,15.986
1425,2693736,CONFIRMED,1.0,12.12401737,134.955,0.029,3.3091,788.4,2.37,675.0,48.98,40.1,5094.0,4.469,0.87,37.966999,15.09
